Title: sol9
Assay date: 11/01/2022 10:30:07
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

Data
	Curve #1	
nm	ABS
400	0,115529
401	0,108406
402	0,102647
403	0,0961994
404	0,0891012
405	0,0824689
406	0,0760935
407	0,0697681
408	0,0643566
409	0,0597007
410	0,0553415
411	0,0513815
412	0,047959
413	0,0445848
414	0,0413934
415	0,0386096
416	0,036035
417	0,0336155
418	0,0313992
419	0,0293015
420	0,0273709
421	0,025736
422	0,0245031
423	0,023705
424	0,0233048
425	0,0231035
426	0,0230219
427	0,0229873
428	0,022985
429	0,0230072
430	0,0231273
431	0,0233427
432	0,0236336
433	0,0239395
434	0,0242873
435	0,0246468
436	0,0251234
437	0,0256155
438	0,0261614
439	0,0268245
440	0,0277092
441	0,0286304
442	0,0299053
443	0,0314506
444	0,0329522
445	0,034157
446	0,0353858
447	0,036109
448	0,0364675
449	0,0370806
450	0,0382844
451	0,0394773
452	0,0412807
453	0,0436205
454	0,0456828
455	0,0479051
456	0,0504323
457	0,0527059
458	0,0546772
459	0,0570909
460	0,0588224
461	0,0604483
462	0,062108
463	0,063911
464	0,0655976
465	0,0676723
466	0,0697313
467	0,071858
468	0,073961
469	0,0760374
470	0,0782472
471	0,080638
472	0,0832841
473	0,0861628
474	0,0891387
475	0,0920745
476	0,095106
477	0,098154
478	0,101346
479	0,104848
480	0,108621
481	0,112431
482	0,116332
483	0,120284
484	0,12419
485	0,128058
486	0,132051
487	0,136148
488	0,140304
489	0,144539
490	0,14889
491	0,153296
492	0,157787
493	0,162468
494	0,167414
495	0,172598
496	0,178041
497	0,18374
498	0,189557
499	0,195352
500	0,201346
501	0,207433
502	0,213499
503	0,219718
504	0,226349
505	0,233024
506	0,239986
507	0,247379
508	0,254955
509	0,262427
510	0,270165
511	0,278046
512	0,285948
513	0,294145
514	0,302878
515	0,311879
516	0,320985
517	0,330653
518	0,340577
519	0,350463
520	0,360623
521	0,371396
522	0,381967
523	0,392688
524	0,404031
525	0,415586
526	0,427048
527	0,439087
528	0,451551
529	0,463777
530	0,476325
531	0,489652
532	0,503227
533	0,517159
534	0,532256
535	0,547608
536	0,562378
537	0,577217
538	0,591855
539	0,605328
540	0,618784
541	0,633177
542	0,647764
543	0,662274
544	0,678071
545	0,693875
546	0,708888
547	0,724022
548	0,739931
549	0,755095
550	0,770897
551	0,787761
552	0,804262
553	0,819815
554	0,835845
555	0,850764
556	0,864975
557	0,88013
558	0,897039
559	0,914248
560	0,933259
561	0,953397
562	0,973802
563	0,993891
564	1,01512
565	1,03673
566	1,0587
567	1,08179
568	1,10688
569	1,13272
570	1,16011
571	1,18977
572	1,22063
573	1,2516
574	1,28388
575	1,31685
576	1,34953
577	1,38312
578	1,41855
579	1,45442
580	1,49065
581	1,52795
582	1,56433
583	1,59817
584	1,63005
585	1,65925
586	1,68458
587	1,70669
588	1,72578
589	1,74089
590	1,75153
591	1,75748
592	1,758
593	1,75289
594	1,7414
595	1,7235
596	1,69977
597	1,66999
598	1,63325
599	1,59104
600	1,54472
601	1,49232
602	1,43563
603	1,37726
604	1,31603
605	1,25066
606	1,18574
607	1,11997
608	1,05166
609	0,983903
610	0,919371
611	0,854707
612	0,792389
613	0,735054
614	0,680673
615	0,627555
616	0,579061
617	0,533448
618	0,488979
619	0,447415
620	0,409822
621	0,37399
622	0,340736
623	0,311103
624	0,283666
625	0,257637
626	0,233845
627	0,212033
628	0,191313
629	0,172343
630	0,155603
631	0,140431
632	0,126768
633	0,114833
634	0,104072
635	0,0940263
636	0,0849198
637	0,0766224
638	0,0688922
639	0,0618949
640	0,055722
641	0,0501235
642	0,0450479
643	0,0405638
644	0,036498
645	0,0327327
646	0,0293627
647	0,0263836
648	0,0236623
649	0,0212184
650	0,0190798
651	0,0171656
652	0,0153946
653	0,0138428
654	0,0124474
655	0,0111496
656	0,00997113
657	0,00893062
658	0,00796215
659	0,00707775
660	0,00629056
661	0,00557296
662	0,00490516
663	0,00430411
664	0,00376067
665	0,00326326
666	0,00281744
667	0,00242574
668	0,00206483
669	0,00174251
670	0,00145129
671	0,00117674
672	0,000911226
673	0,000671449
674	0,000448305
675	0,00023906
676	4,87879e-05
677	-0,000115748
678	-0,000263991
679	-0,000397973
680	-0,000513985
681	-0,000619561
682	-0,000724403
683	-0,000821052
684	-0,000911286
685	-0,000998559
686	-0,00107856
687	-0,00114362
688	-0,00120534
689	-0,00126357
690	-0,00131794
691	-0,00137154
692	-0,00143365
693	-0,00149438
694	-0,00155527
695	-0,00161701
696	-0,00167639
697	-0,00172409
698	-0,00177093
699	-0,00181438
700	-0,00185325
701	-0,0018916
702	-0,00193098
703	-0,00195867
704	-0,00198254
705	-0,00200403
706	-0,00201684
707	-0,00202596
708	-0,00203627
709	-0,00204099
710	-0,00204522
711	-0,00205916
712	-0,00207708
713	-0,00209867
714	-0,00212102
715	-0,00214384
716	-0,00216209
717	-0,00218377
718	-0,00219957
719	-0,00221729
720	-0,00223822
721	-0,00223323
722	-0,00219711
723	-0,00215635
724	-0,00210693
725	-0,00195365
726	-0,00177447
727	-0,00160212
728	-0,00142191
729	-0,00141287
730	-0,00173944
731	-0,00216155
732	-0,00256933
733	-0,00303887
734	-0,00318034
735	-0,00291231
736	-0,00257904
737	-0,00233414
738	-0,00202594
739	-0,00191686
740	-0,0019955
741	-0,002177
742	-0,00233692
743	-0,00252695
744	-0,00269076
745	-0,00279033
746	-0,00262706
747	-0,00248145
748	-0,00208514
749	-0,00113991
750	0,000788792
