Title: sol7
Assay date: 11/01/2022 09:47:01
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

Data
	Curve #1	
nm	ABS
400	0,352329
401	0,35608
402	0,361815
403	0,367763
404	0,37292
405	0,37804
406	0,38329
407	0,388652
408	0,394207
409	0,400144
410	0,406325
411	0,412379
412	0,418309
413	0,424111
414	0,429638
415	0,434838
416	0,439896
417	0,444739
418	0,449199
419	0,453407
420	0,457607
421	0,461713
422	0,465843
423	0,470176
424	0,474479
425	0,478437
426	0,482123
427	0,485447
428	0,48831
429	0,490813
430	0,493106
431	0,495102
432	0,4968
433	0,498175
434	0,499227
435	0,499903
436	0,500299
437	0,500341
438	0,500069
439	0,49951
440	0,498749
441	0,49771
442	0,496646
443	0,495403
444	0,493778
445	0,491604
446	0,488994
447	0,485539
448	0,481523
449	0,477402
450	0,4734
451	0,469218
452	0,465306
453	0,46142
454	0,45695
455	0,452447
456	0,447719
457	0,442496
458	0,436962
459	0,431668
460	0,425325
461	0,418898
462	0,412182
463	0,405101
464	0,397661
465	0,390654
466	0,383354
467	0,376084
468	0,368977
469	0,361722
470	0,354206
471	0,346733
472	0,339464
473	0,331971
474	0,324556
475	0,317373
476	0,310292
477	0,302997
478	0,296224
479	0,289719
480	0,283158
481	0,276666
482	0,270478
483	0,264072
484	0,257575
485	0,251356
486	0,245214
487	0,238945
488	0,232825
489	0,226791
490	0,220521
491	0,21432
492	0,208473
493	0,202669
494	0,19704
495	0,191865
496	0,186874
497	0,181795
498	0,176972
499	0,172384
500	0,167782
501	0,163356
502	0,159282
503	0,155302
504	0,151309
505	0,147542
506	0,143895
507	0,140267
508	0,136839
509	0,1337
510	0,130742
511	0,128042
512	0,125706
513	0,123581
514	0,121582
515	0,119737
516	0,117954
517	0,116211
518	0,11467
519	0,113357
520	0,112194
521	0,111264
522	0,110416
523	0,10953
524	0,108744
525	0,108138
526	0,107622
527	0,107324
528	0,107338
529	0,107432
530	0,107677
531	0,108243
532	0,109012
533	0,110024
534	0,11165
535	0,113512
536	0,115193
537	0,116911
538	0,118449
539	0,119207
540	0,119787
541	0,120738
542	0,121722
543	0,122637
544	0,124332
545	0,1262
546	0,127844
547	0,129793
548	0,132397
549	0,134883
550	0,138
551	0,141769
552	0,145194
553	0,147945
554	0,1506
555	0,151999
556	0,15283
557	0,15419
558	0,156513
559	0,159124
560	0,163002
561	0,167137
562	0,171189
563	0,174912
564	0,17874
565	0,182414
566	0,186314
567	0,190399
568	0,194777
569	0,199341
570	0,204126
571	0,209268
572	0,214667
573	0,22015
574	0,225849
575	0,231682
576	0,237474
577	0,243415
578	0,249696
579	0,25612
580	0,262689
581	0,269532
582	0,276288
583	0,282613
584	0,288568
585	0,294009
586	0,298702
587	0,302772
588	0,306302
589	0,309137
590	0,311211
591	0,312509
592	0,312879
593	0,312234
594	0,310429
595	0,307437
596	0,303355
597	0,298145
598	0,291664
599	0,2842
600	0,276007
601	0,266667
602	0,256496
603	0,246041
604	0,235072
605	0,223306
606	0,211677
607	0,199996
608	0,187809
609	0,175655
610	0,164101
611	0,152386
612	0,140925
613	0,130354
614	0,120356
615	0,110543
616	0,10173
617	0,0935881
618	0,0856574
619	0,0782215
620	0,0715598
621	0,0651402
622	0,0591256
623	0,0537567
624	0,0487955
625	0,0440449
626	0,0397028
627	0,0357284
628	0,0319916
629	0,0285845
630	0,0255992
631	0,0228964
632	0,0204561
633	0,0182676
634	0,0162721
635	0,0144278
636	0,0127609
637	0,0112595
638	0,00993568
639	0,00877705
640	0,00773181
641	0,0067811
642	0,00590014
643	0,00507274
644	0,00430076
645	0,00360667
646	0,00298208
647	0,00243029
648	0,00194124
649	0,0014983
650	0,00109323
651	0,000731144
652	0,00041065
653	0,000131274
654	-0,000114639
655	-0,000331891
656	-0,000520811
657	-0,000689545
658	-0,000848618
659	-0,000995813
660	-0,00114083
661	-0,00128679
662	-0,00143212
663	-0,00156395
664	-0,00168126
665	-0,00177122
666	-0,00184158
667	-0,00189629
668	-0,00194739
669	-0,00199452
670	-0,00204543
671	-0,00209876
672	-0,00215355
673	-0,00220432
674	-0,00224895
675	-0,00229008
676	-0,00232656
677	-0,00235784
678	-0,00238392
679	-0,00240935
680	-0,00243012
681	-0,00244865
682	-0,00246566
683	-0,00248307
684	-0,00250082
685	-0,00251993
686	-0,00253578
687	-0,00254796
688	-0,00255731
689	-0,0025632
690	-0,00256703
691	-0,0025748
692	-0,00258699
693	-0,00260134
694	-0,00261933
695	-0,00264054
696	-0,00265972
697	-0,00267606
698	-0,00269048
699	-0,00270165
700	-0,00270951
701	-0,00271886
702	-0,00272843
703	-0,00273587
704	-0,00274725
705	-0,0027625
706	-0,00277221
707	-0,00277984
708	-0,0027857
709	-0,00278048
710	-0,00277159
711	-0,0027734
712	-0,00277751
713	-0,00278388
714	-0,00279483
715	-0,00280629
716	-0,00281132
717	-0,0028235
718	-0,00283151
719	-0,00283978
720	-0,00285225
721	-0,00283788
722	-0,00278952
723	-0,00273385
724	-0,00266586
725	-0,00248633
726	-0,00227515
727	-0,00206261
728	-0,00183681
729	-0,00178087
730	-0,0020663
731	-0,00245638
732	-0,00284555
733	-0,00330681
734	-0,00344668
735	-0,00318039
736	-0,00284847
737	-0,00260191
738	-0,00229159
739	-0,00218808
740	-0,00227655
741	-0,00247238
742	-0,00265261
743	-0,00286623
744	-0,00304526
745	-0,00315804
746	-0,00300579
747	-0,00286522
748	-0,00247018
749	-0,00152593
750	0,000381552
