Title: sol15
Assay date: 11/01/2022 10:45:17
Instrument: Spectrophotomètre EASYSPEC S/N: 83004895

Settings:
Start WL: 400 nm
End WL: 750 nm
Bandwidth: 5 nm
Step: 1 nm
Gain auto: yes
Averaging time: 0,1 s

Data
	Curve #1	
nm	ABS
400	0,298171
401	0,299418
402	0,302659
403	0,30582
404	0,308148
405	0,310569
406	0,313132
407	0,31578
408	0,31879
409	0,322274
410	0,326003
411	0,32972
412	0,333462
413	0,337117
414	0,340592
415	0,343932
416	0,347218
417	0,350376
418	0,353292
419	0,356053
420	0,358833
421	0,361604
422	0,36449
423	0,367613
424	0,370799
425	0,373762
426	0,376541
427	0,379059
428	0,381257
429	0,383187
430	0,385007
431	0,386631
432	0,38803
433	0,389158
434	0,390049
435	0,390623
436	0,391002
437	0,391116
438	0,391011
439	0,390701
440	0,390295
441	0,389679
442	0,389116
443	0,388481
444	0,387543
445	0,386112
446	0,384358
447	0,381852
448	0,378826
449	0,375778
450	0,372958
451	0,369995
452	0,367375
453	0,3649
454	0,361926
455	0,35898
456	0,355968
457	0,352556
458	0,348865
459	0,345483
460	0,341151
461	0,336688
462	0,331981
463	0,327
464	0,321691
465	0,316781
466	0,311657
467	0,306558
468	0,301577
469	0,296471
470	0,29119
471	0,285978
472	0,28099
473	0,275882
474	0,270851
475	0,265989
476	0,261222
477	0,25629
478	0,251791
479	0,247581
480	0,24339
481	0,239267
482	0,235404
483	0,231385
484	0,22728
485	0,223381
486	0,219551
487	0,215642
488	0,21185
489	0,208132
490	0,204253
491	0,200436
492	0,19689
493	0,19341
494	0,190117
495	0,187219
496	0,184526
497	0,181849
498	0,179411
499	0,177166
500	0,174974
501	0,172943
502	0,17118
503	0,169527
504	0,167955
505	0,166567
506	0,165342
507	0,164232
508	0,163314
509	0,162601
510	0,162082
511	0,161788
512	0,161776
513	0,161991
514	0,162419
515	0,16303
516	0,163714
517	0,16455
518	0,165603
519	0,166821
520	0,168216
521	0,169931
522	0,171671
523	0,173422
524	0,175399
525	0,177562
526	0,179777
527	0,182289
528	0,185138
529	0,187996
530	0,191042
531	0,194516
532	0,198206
533	0,202159
534	0,206849
535	0,211777
536	0,216429
537	0,22112
538	0,225624
539	0,229261
540	0,232759
541	0,236737
542	0,240775
543	0,244734
544	0,249565
545	0,254508
546	0,25911
547	0,263972
548	0,269516
549	0,274813
550	0,280764
551	0,287468
552	0,293824
553	0,299457
554	0,305135
555	0,309588
556	0,313419
557	0,317876
558	0,323447
559	0,329289
560	0,336499
561	0,344186
562	0,351882
563	0,359282
564	0,367045
565	0,374806
566	0,382842
567	0,391291
568	0,400439
569	0,40992
570	0,419945
571	0,430775
572	0,442096
573	0,453517
574	0,465423
575	0,477607
576	0,489706
577	0,502146
578	0,515304
579	0,528695
580	0,542297
581	0,556372
582	0,570191
583	0,583086
584	0,595257
585	0,606419
586	0,616119
587	0,624594
588	0,631963
589	0,637859
590	0,642116
591	0,644674
592	0,645235
593	0,643673
594	0,639726
595	0,633364
596	0,624791
597	0,61394
598	0,6005
599	0,585042
600	0,568077
601	0,548833
602	0,527961
603	0,506487
604	0,483956
605	0,459854
606	0,435954
607	0,411806
608	0,386677
609	0,361694
610	0,337903
611	0,313956
612	0,290753
613	0,269384
614	0,249142
615	0,22934
616	0,211379
617	0,194596
618	0,178243
619	0,162943
620	0,149155
621	0,135959
622	0,123674
623	0,112716
624	0,102572
625	0,0929107
626	0,0840794
627	0,075981
628	0,0683198
629	0,0613235
630	0,0551678
631	0,0495934
632	0,0445721
633	0,0401395
634	0,0361251
635	0,0323956
636	0,0290201
637	0,0259636
638	0,0231842
639	0,020701
640	0,0184948
641	0,0164973
642	0,014672
643	0,013018
644	0,0115009
645	0,0101102
646	0,00885924
647	0,00775069
648	0,00674984
649	0,00584786
650	0,00504507
651	0,0043289
652	0,00367909
653	0,003113
654	0,00261242
655	0,00215778
656	0,00174727
657	0,00138649
658	0,00104658
659	0,000733711
660	0,000448303
661	0,000186933
662	-6,16065e-05
663	-0,000281581
664	-0,000480039
665	-0,000655076
666	-0,000810932
667	-0,000946618
668	-0,00107545
669	-0,00119206
670	-0,00130318
671	-0,00141283
672	-0,00152317
673	-0,00162171
674	-0,00170791
675	-0,00178275
676	-0,00184498
677	-0,00189561
678	-0,00193851
679	-0,0019798
680	-0,00201689
681	-0,00205125
682	-0,00208128
683	-0,00210965
684	-0,00214255
685	-0,00217893
686	-0,00221595
687	-0,0022532
688	-0,00229012
689	-0,00231367
690	-0,00232844
691	-0,00233818
692	-0,00234568
693	-0,00235833
694	-0,00238216
695	-0,00241434
696	-0,0024486
697	-0,00248375
698	-0,00250749
699	-0,00252089
700	-0,00252551
701	-0,00253069
702	-0,00253382
703	-0,00254052
704	-0,00255394
705	-0,00257308
706	-0,00258699
707	-0,00259876
708	-0,00260619
709	-0,00260506
710	-0,00259903
711	-0,0026007
712	-0,00260234
713	-0,00260491
714	-0,00260557
715	-0,00260759
716	-0,00260506
717	-0,00261191
718	-0,00261478
719	-0,00261934
720	-0,00262664
721	-0,0026076
722	-0,00255533
723	-0,002501
724	-0,00244403
725	-0,00228988
726	-0,00211345
727	-0,00194578
728	-0,00176917
729	-0,00175998
730	-0,00207832
731	-0,00249189
732	-0,00288527
733	-0,0033351
734	-0,00345049
735	-0,00315297
736	-0,00277811
737	-0,00249587
738	-0,00215657
739	-0,00203172
740	-0,00211018
741	-0,00231441
742	-0,00251044
743	-0,00274589
744	-0,00295237
745	-0,00309286
746	-0,0029627
747	-0,00284365
748	-0,00245866
749	-0,00152488
750	0,000406111
